Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DOW,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT,PFE,RTX,XOM
3/24/20,61.720001,84.050003,127.68,101.339996,38.599998,66.550003,98.120003,28.469999,153.600006,184.720001,105.480003,52.400002,119.18,88.43,39.450001,161.949997,132.720001,69.050003,148.339996,72.330002,103.269997,93.739998,219.800003,154.529999,49.990002,45.25,115.029999,28.178368,54.600376,35.439999
3/25/20,61.380001,90.169998,158.729996,104.669998,37.669998,69.269997,100.730003,30.379999,155.130005,181.759995,105.849998,51.259998,119.400002,91.730003,41.610001,162.979996,131.539993,68.220001,146.919998,79.010002,100.919998,92.18,234.490005,161.779999,49.939999,41.439999,109.400002,28.225805,60.534927,37.290001
3/26/20,64.610001,93.290001,180.550003,110.5,40.580002,76.379997,105.360001,29.68,165.789993,195.210007,112.889999,55.540001,126.57,98.120003,44.290001,167.350006,136.179993,73.529999,156.110001,84.300003,107.379997,98.669998,255.389999,168.880005,53.540001,45.669998,109.82,30.123341,65.852737,38.82
3/27/20,61.935001,88.730003,162,105.440002,38.82,68.779999,96.400002,28.559999,158.339996,190.550003,108.029999,52.369999,123.160004,91.129997,42.810001,164.009995,133.240005,71.730003,149.699997,83.230003,110.169998,99.949997,242.449997,161.559998,52.77,44,109.580002,29.316889,61.13908,36.950001
3/30/20,63.702499,90.269997,152.279999,111.709999,40.32,71.949997,99.800003,28.65,159.619995,196.100006,112.93,55.490002,133.009995,93.5,45,168.130005,137.740005,76.949997,160.229996,85.379997,115,102.589996,251.279999,165.570007,54.77,45.16,115.190002,30.996204,61.98238,37.5
3/31/20,63.572498,85.610001,149.139999,116.040001,39.310001,72.459999,96.599998,29.24,154.589996,186.710007,110.93,54.119999,131.130005,90.029999,44.25,165.350006,136.509995,76.940002,157.710007,82.739998,110,99.349998,249.380005,161.119995,53.73,45.75,113.620003,30.967743,59.36438,37.970001
4/1/20,60.227501,77.839996,130.699997,111.349998,38.330002,68.559998,94.919998,27.040001,145.289993,178.630005,105.139999,51.880001,128.809998,84.360001,42.119999,158.169998,133.139999,73.800003,152.110001,79.230003,109.330002,95.199997,237.320007,153.110001,52.919998,43.029999,114.139999,30.123341,57.501572,37.529999
4/2/20,61.232498,76.660004,123.269997,116.739998,39.799999,76.120003,96.970001,28.030001,149.929993,181.309998,110,54.349998,133.149994,87.510002,43.950001,161.5,137.910004,76.870003,155.259995,80.139999,114.400002,97.190002,240.440002,157.389999,55.25,40.32,118.650002,31.185959,54.128384,40.400002
4/3/20,60.352501,73.599998,124.519997,114.669998,39.060001,75.110001,93.879997,27.969999,146.929993,178.699997,106.339996,54.130001,134.169998,84.050003,43.830002,160.330002,133.789993,76.25,153.830002,78.860001,115.080002,93.889999,229.490005,151.850006,54.700001,40.720001,119.480003,31.91651,49.93,39.209999
4/6/20,65.6175,83.870003,148.770004,120.43,41.43,80.389999,99.580002,30.540001,158.229996,191.330002,114.82,58.43,139.759995,89.459999,46.669998,177.039993,140.699997,80.309998,165.270004,84.629997,117.809998,98.980003,248.339996,169.440002,56.700001,42.630001,126.07,32.798862,57.560001,40.470001
4/7/20,64.857498,87.580002,141.580002,121.919998,40.639999,80.919998,101.239998,32.330002,166.020004,192.289993,114.940002,58.400002,137.479996,90.639999,46.509998,175.589996,144.600006,78.559998,163.490005,84.160004,112.769997,100.779999,248.039993,168.589996,56.98,42.810001,121.989998,31.888046,57.759998,41.240002
4/8/20,66.517502,92.080002,146.869995,127.400002,41.740002,85.980003,101.07,34.790001,176.960007,194.820007,119.290001,58.98,143.259995,94.300003,47.82,177.490005,148.990005,81.620003,165.130005,85.300003,115.099998,104.940002,267.829987,174.940002,57.799999,43.09,121.839996,32.827324,62.619999,43.849998
4/9/20,66.997498,94.82,151.839996,125.029999,41.200001,84.309998,104.5,36.560001,184.259995,201.529999,121.5,57.139999,141.229996,102.760002,49,183.699997,147.779999,82.489998,165.139999,86.790001,114.660004,109.739998,264.130005,173.690002,57.439999,43.98,121.800003,33.576851,64.709999,43.130001
4/13/20,68.3125,90.330002,147.330002,114.139999,41.220001,84.910004,103.5,35.23,179.179993,198.789993,121.150002,58.700001,139.770004,98.190002,46.93,180.119995,146.399994,80.540001,165.509995,84.459999,115.949997,106.419998,263.51001,168.990005,56.669998,44.110001,125.300003,33.339657,61.830002,42.759998
4/14/20,71.762497,88.389999,141,116.480003,42.779999,84.610001,106.029999,35.369999,178.229996,207.169998,123.910004,60.66,146.029999,95.5,48.919998,183.990005,150.139999,82.839996,173.699997,87.470001,120.959999,108.019997,270.5,174.619995,58.139999,46.380001,129,34.573055,65.07,42.43
4/15/20,71.107498,83.790001,145.979996,111.529999,41.52,82.489998,103.370003,32.23,178.520004,198.479996,118.690002,58.869999,147.660004,90.790001,47.610001,177.839996,145.160004,82.07,171.880005,85.040001,121.220001,102.169998,281.679993,165.960007,56.93,43.439999,128.759995,34.127136,62.330002,40.48
4/16/20,71.672501,81.349998,134.240005,113.220001,41.5,79.989998,102.019997,31.629999,177.039993,199.850006,115.730003,60.790001,149.669998,87.330002,47.099998,179.5,144.899994,83,177.039993,86.300003,121.5,99.809998,298.429993,162.419998,57.66,43.23,132.330002,34.041744,62.450001,39.150002
4/17/20,70.699997,87.389999,154,116.300003,42.48,87.169998,106.629997,33.419998,183.490005,209.419998,120.120003,60.360001,152.020004,95.18,48.060001,186.100006,146.460007,83.459999,178.600006,89.910004,124.690002,105.07,290.559998,169.539993,58.459999,44.5,132.119995,35.018974,66.07,43.220001
4/20/20,69.232498,84.010002,143.610001,114.599998,42.540001,83.57,102.260002,31.530001,180.399994,206.050003,120.410004,59.18,151.669998,91.709999,46.529999,181.649994,143.669998,83.099998,175.059998,87.900002,120.599998,101.779999,282.140015,164.220001,58.130001,42.849998,129.850006,34.231499,64.980003,41.18
4/21/20,67.092499,81.519997,136.330002,109.849998,40.549999,81.639999,100.540001,30.879999,173.809998,200.610001,116.760002,56.360001,149.679993,89.050003,45.380001,177.580002,141.630005,78.559998,167.820007,85.199997,119.68,101.779999,274.190002,160.529999,56.82,42.549999,129.210007,33.795067,62.650002,40.959999
4/22/20,69.025002,82.540001,134.970001,110.639999,41.759998,84.440002,100.989998,31.84,175.979996,204.169998,119.309998,60.099998,152.990005,89.339996,45.68,186.479996,143.610001,79.980003,173.520004,88.769997,119.400002,101.790001,277.019989,166.589996,57.990002,43.310001,131.589996,34.392788,63.450001,42.130001
4/23/20,68.7575,82.459999,137.740005,112.910004,41.619999,86.800003,101,32.560001,175.050003,202.320007,121.349998,59.040001,155.509995,89.389999,45.07,182.039993,144.330002,80.879997,171.419998,87.349998,119.400002,100.449997,285.329987,166.380005,57.59,43.5,128.529999,34.810246,63.290001,43.450001
