Date,AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WBA,WMT,XOM
4/11/19,198.949997,109.849998,370.160004,138.869995,55.599998,125.989998,116.599998,82.306877,202.830002,201.479996,143.779999,55.799999,135.210007,135.210007,46.709999,188.880005,213.529999,79.839996,120.330002,85,42.27,104.75,136.279999,235.419998,132.820007,157.860001,58.560001,53.439999,100.800003,81.949997
4/12/19,198.869995,110.910004,379.640015,141.199997,56.290001,119.760002,130.059998,83.534393,207.839996,203.850006,144.350006,56.419998,135.979996,135.979996,46.740002,191.600006,217.419998,79.43,120.949997,86.239998,41.709999,105.059998,137.720001,223.220001,135.300003,159.639999,58.740002,53.450001,101.559998,80.919998
4/15/19,199.229996,110.529999,375.459991,140.25,56.560001,120.139999,132.039993,82.328041,199.910004,204.860001,143.899994,56.279999,136.520004,136.520004,47,191.850006,215.830002,78.529999,121.050003,86.830002,42.09,105.730003,136.789993,230.199997,134.550003,160.440002,58.709999,54.240002,102.43,80.650002
4/16/19,199.25,111.879997,381.720001,142.029999,56.950001,121.169998,129.899994,82.85714,201.839996,204.470001,145.139999,56.709999,138.020004,138.020004,46.950001,191.699997,216.899994,77.559998,120.769997,87.800003,40.919998,106.419998,138.339996,220.960007,135.339996,160.229996,58.790001,54.84,102.93,81.199997
4/17/19,203.130005,111.760002,377.519989,142.740005,56.310001,120.269997,131.75,82.962959,207.899994,206.550003,139.110001,58.560001,138.520004,138.520004,47.279999,191.610001,217.639999,73.919998,121.769997,88.730003,39.880001,105.849998,135.869995,216.839996,135.789993,160.440002,57.779999,55.139999,103.160004,81.43
4/18/19,203.860001,113.669998,380.070007,143.360001,56.400002,119.860001,132.449997,82.53968,205.910004,205.660004,140.330002,58.490002,137.520004,137.520004,47.48,194.910004,218.880005,73.190002,123.370003,89.199997,39.380001,106.050003,138.929993,221.75,137,160.160004,58.040001,54.630001,103.18,81.129997
4/22/19,204.529999,112.330002,375.170013,142.380005,56.34,121.900002,131.679993,81.100533,204.600006,204.779999,138.889999,58.82,137.830002,137.830002,47.400002,193.919998,218.539993,73.459999,123.760002,87.360001,38.98,106.010002,136.610001,227.110001,136.910004,160.399994,58.369999,54.099998,102.370003,82.900002
4/23/19,207.479996,113.970001,374.019989,142.029999,56.689999,122.019997,133.360001,81.015877,204.139999,206.050003,140.440002,58.779999,139.899994,139.899994,48.209999,195.259995,219.5,74.599998,125.440002,87.43,39.419998,103.160004,138.009995,230.580002,140.020004,161.660004,57.150002,53.220001,103.07,83.379997
4/24/19,207.160004,114.019997,375.459991,137.729996,56.880001,118.279999,135.100006,81.037041,200.539993,206.720001,139.949997,58.720001,139.199997,139.199997,47.98,197.630005,219.080002,74.730003,125.010002,88.389999,39.369999,103.690002,139.179993,230.350006,139.589996,161.490005,57.080002,53.470001,103.529999,81.760002
4/25/19,205.279999,115.879997,382.799988,136.130005,56.330002,117.900002,137.240005,79.576721,201.399994,206.5,138.630005,57.610001,139.649994,139.649994,47.84,197.929993,190.720001,76.339996,129.149994,87.559998,39.610001,103.279999,139.190002,230.789993,139.729996,161.020004,55.849998,52.68,103.519997,82.220001
